P	g	992
P	h	1355
R	g	1604
P	v	1696
P	q	1704
R	h	1734
R	q	2039
P	a	2044
P	q	2053
P	f	2375
R	a	2389
P	a	2394
R	q	2399
P	q	2406
P	h	2752
R	q	3079
P	q	3093
R	h	3799
P	h	3813
P	g	4148
R	h	4438
R	f	4440
R	a	4440
R	q	4440
R	v	4442
P	c	4497
R	g	4499
P	g	4503
R	g	4839
P	a	4845
P	g	4854
P	d	5186
R	g	5199
P	g	5207
P	w	5553
P	q	5915
P	h	6614
R	w	6649
R	g	6968
P	g	6976
R	c	7249
P	c	7256
R	h	7265
R	a	7270
R	d	7270
R	q	7272
P	x	7325
R	c	7329
P	f	7330
R	g	7334
P	n	7661
P	s	8016
R	f	8019
P	f	8032
P	r	8382
R	r	8718
P	r	8731
P	w	9075
P	q	9445
P	h	9768
R	s	10080
R	w	10083
R	h	10084
R	q	10098
R	r	10098
R	x	10109
R	n	10109
R	f	10109
P	q	10113
P	z	10115
P	n	10450
P	a	10804
P	s	11152
R	z	11509
P	z	11523
P	d	11524
P	h	12242
P	g	12587
R	a	12854
R	h	12854
R	z	12854
R	n	12854
R	d	12854
R	s	12855
R	q	12855
P	f	12923
R	g	12927
R	f	13289
P	v	13290
P	f	13302
R	v	13639
P	r	13645
P	v	13653
R	r	13968
P	r	13975
P	a	13985
R	r	14319
P	s	14334
P	r	14334
P	w	14677
R	s	15039
P	s	15052
P	x	15057
P	q	15062
P	h	15393
R	s	15704
R	a	15704
R	w	15704
R	h	15705
R	x	15707
R	q	15718
R	v	15729
R	f	15729
R	r	15729
P	q	15734
R	q	16079
P	v	16079
P	q	16087
R	v	16429
R	q	16429
P	n	16433
P	q	16434
P	v	16440
P	a	16773
P	w	16783
P	f	17134
P	h	17147
P	g	17852
R	h	18188
P	h	18203
R	f	18526
R	g	18527
R	a	18528
R	n	18528
R	v	18528
R	w	18529
R	h	18531
R	q	18549
P	q	18558
P	x	18869
P	b	19223
R	q	19250
P	q	19264
P	w	19606
R	q	19949
P	q	19959
P	h	20313
P	g	20665
P	f	21016
R	g	21339
R	b	21350
R	q	21350
R	w	21350
R	x	21351
R	h	21351
R	f	21352
P	g	21352
P	z	21352
P	b	21690
P	a	22054
P	s	22389
R	z	22759
P	d	22764
P	z	22764
R	g	23479
P	g	23484
P	h	23830
R	b	24123
R	s	24123
R	g	24125
R	d	24125
R	z	24125
R	a	24126
P	v	24165
P	q	24165
R	h	24174
R	q	24489
P	a	24501
P	q	24503
P	f	24824
R	q	24859
P	q	24864
P	h	25197
R	q	25549
P	q	25562
R	h	26239
P	h	26253
P	g	26611
R	f	26898
R	g	26898
R	h	26899
R	v	26901
R	a	26908
R	q	26938
P	c	26954
P	g	26973
R	g	27299
P	a	27299
P	g	27304
P	d	27645
R	g	27649
P	g	27658
P	w	27994
P	q	28367
P	h	29053
R	g	29378
P	z	29385
P	g	29390
R	w	29683
R	q	29686
R	h	29688
R	c	29688
R	d	29688
R	a	29688
R	z	29709
P	x	29731
P	f	29735
R	g	29744
P	n	30065
R	f	30399
P	s	30407
P	f	30414
P	r	30761
R	r	31098
P	r	31114
P	w	31455
P	q	31807
P	h	32160
R	n	32492
R	s	32493
R	h	32493
R	w	32493
R	x	32494
P	z	32496
R	q	32499
P	q	32503
P	a	32507
R	f	32509
R	r	32509
R	a	32839
P	n	32846
P	a	33197
P	s	33544
P	d	33914
P	h	34643
P	g	34990
R	s	35296
R	d	35298
R	a	35298
R	h	35298
R	q	35299
R	n	35300
R	z	35302
R	g	35304
P	f	35350
R	f	35688
P	f	35694
P	v	35694
P	r	36036
R	r	36369
P	r	36382
P	a	36386
R	r	36718
P	s	36725
P	r	36726
P	w	37066
R	a	37425
P	x	37427
P	q	37428
P	h	37763
R	v	38029
P	v	38036
R	s	38074
R	r	38074
R	w	38075
R	f	38075
R	x	38079
R	h	38085
R	q	38109
P	q	38117
R	v	38119
R	q	38438
P	v	38445
P	q	38451
R	q	38789
P	q	38800
R	v	38809
P	n	38815
P	v	38824
P	a	39125
P	w	39156
P	f	39473
R	v	39489
P	v	39500
P	h	39509
P	g	40233
R	h	40559
P	h	40567
R	q	40929
P	q	40936
R	f	40938
R	g	40941
R	n	40941
R	v	40941
R	a	40942
R	w	40942
R	h	40942
P	x	41256
P	b	41630
R	q	41658
P	q	41665
P	w	42018
P	z	42356
R	x	42363
R	b	42363
R	w	42365
R	q	42369
P	q	42380
P	b	42688
P	h	42734
P	a	43062
P	g	43095
R	z	43429
R	h	43429
P	h	43437
P	z	43438
R	z	43763
R	b	43764
R	g	43764
R	q	43765
R	a	43765
R	h	43773
P	v	43796
P	f	43799
P	a	44143
R	f	44468
P	f	44476
P	z	44848
P	g	44854
R	z	44859
P	h	45207
R	h	45929
P	z	45942
P	h	45944
P	q	46283
R	h	46509
P	h	46516
R	q	46589
P	q	46595
R	g	46609
